mode_confidence,key_confidence,tempo,energy,tempo_confidence,time_signature,valence,name,echoprint_version,mode,explicit,track_number,code_version,speechiness,duration,popularity,artist_names,start_of_fade_out,liveness,acousticness,instrumentalness,time_signature_confidence,key,danceability,end_of_fade_in,num_samples,loudness
0.487,0.538,94.989,0.694,0.545,4,0.687,Good Life,4.12,1,1,6,3.15,0.051,253.30667,44,OneRepublic,239.4732,0.121,0.0785,0.0,1.0,6,0.636,0.13968,5585412,-7.796
0.435,0.359,147.947,0.739,0.805,4,0.849,Hard to Love (feat. Jessie Reyez),4.12,1,0,10,3.15,0.149,230.6,22,Calvin Harris,222.22076,0.0657,0.114,0.000469,1.0,2,0.751,3.48299,5084730,-7.394
0.479,0.422,118.159,0.67,0.706,4,0.505,Electricity,4.12,1,0,22,3.15,0.0473,238.16145,0,Dua Lipa,230.01688,0.338,0.0104,3.33e-06,1.0,0,0.588,0.238,5251460,-6.439
0.515,0.894,123.984,0.822,0.866,4,0.557,Embalao,4.12,1,0,13,3.15,0.0409,226.81332,53,Farruko,218.49977,0.0979,0.067,0.000249,1.0,7,0.776,0.11646,5001234,-5.03
0.541,0.549,89.996,0.776,0.001,4,0.814,Holding on to You,4.12,1,0,2,3.15,0.0511,263.73334,69,Twenty One Pilots,254.9435,0.0713,0.241,0.0,1.0,11,0.608,0.0,5815320,-3.635
0.555,0.514,161.921,0.858,0.367,4,0.495,Right By My Side,4.12,1,1,8,3.15,0.268,265.32,41,Nicki Minaj,257.67184,0.126,0.0178,0.0,0.977,1,0.569,0.0976,5850306,-4.831
0.188,0.067,136.016,0.482,0.854,4,0.134,Summer Games,4.12,1,0,2,3.15,0.0357,247.89333,28,Drake,230.6322,0.11,0.477,0.0456,0.942,1,0.775,0.0,5466048,-11.269
0.627,0.731,139.968,0.686,0.774,4,0.658,Puesto Pa' Guerrial,4.12,1,1,17,3.15,0.221,190.20735,72,Bad Bunny,184.93533,0.1,0.311,0.0,0.914,4,0.867,0.1741,4194072,-5.342
0.486,0.788,139.929,0.725,0.429,4,0.555,Double It (feat. Fetty Luciano),4.12,1,0,27,3.15,0.365,166.2857,24,Pop Smoke,150.00092,0.142,0.254,0.0,1.0,2,0.696,0.0,3666600,-8.785
0.471,0.356,149.959,0.944,0.837,4,0.84,Beat It - Studio Version,4.12,1,0,14,3.15,0.0613,227.69333,29,Fall Out Boy,215.08644,0.337,0.0357,3.41e-06,1.0,0,0.561,0.0756,5020638,-3.437
0.345,0.256,120.064,0.905,0.637,4,0.116,"What I've Done - Live from New York, 2008",4.12,1,0,6,3.15,0.0529,297.98666,37,Linkin Park,297.98666,0.958,0.000497,1.58e-05,0.383,5,0.392,0.40077,6570606,-3.845
0.31,0.422,124.923,0.965,0.493,4,0.0471,"The March of the Black Queen - Live At The Hammersmith Odeon, London / 1975",4.12,0,0,6,3.15,0.11,90.01333,24,Queen,90.01334,0.848,0.0365,0.011,0.877,9,0.354,0.0,1984794,-6.484
0.683,0.75,97.028,0.544,0.262,4,0.51,IDGAF,4.12,1,1,5,3.15,0.0943,217.94667,51,Dua Lipa,211.80083,0.0824,0.0403,0.0,1.0,7,0.836,0.21451,4805724,-5.975
0.416,0.012,83.98,0.729,0.03,4,0.539,No Option,4.12,1,0,4,3.15,0.0527,179.82668,18,Post Malone,173.65623,0.213,0.0849,0.0,1.0,2,0.657,3.10567,3965178,-4.914
